locationid;pleasant;eventful;ISOPleasant;ISOEventful
MarchmontGarden;5,0;3,0;0,8535533905932737;0,20710678118654754
MarchmontGarden;1,0;3,0;-0,6035533905932738;0,25
MarchmontGarden;2,0;1,0;-0,603553390593274;-0,31066017177982114
MarchmontGarden;3,0;1,0;-0,10355339059327391;-0,06066017177982121
MarchmontGarden;4,0;1,0;0,573223304703363;-0,38388347648318444
MarchmontGarden;4,0;2,0;0,10355339059327368;-0,06066017177982121
MarchmontGarden;2,0;2,0;-0,17677669529663703;-0,13388347648318427
MarchmontGarden;2,0;1,0;-0,2803300858899109;-0,23743686707645822
MarchmontGarden;2,0;1,0;-0,35355339059327395;-0,20710678118654754
MarchmontGarden;2,0;3,0;-0,28033008588991076;0,07322330470336316
MarchmontGarden;4,0;1,0;0,75;-0,3535533905932738
MarchmontGarden;4,0;3,0;0,5303300858899105;-0,07322330470336316
MarchmontGarden;2,0;2,0;-0,2071067811865477;-9,197388681172371e-17
MarchmontGarden;4,0;2,0;0,49999999999999983;-0,20710678118654754
MarchmontGarden;5,0;2,0;0,7803300858899105;-0,32322330470336325
MarchmontGarden;3,0;4,0;-0,030330085889910742;0,2803300858899107
MarchmontGarden;3,0;4,0;-0,20710678118654763;0,35355339059327384
MarchmontGarden;4,0;2,0;0,17677669529663675;-0,2196699141100894
MarchmontGarden;3,0;4,0;0,24999999999999994;0,20710678118654754
MarchmontGarden;3,0;3,0;-0,10355339059327386;0,0
MarchmontGarden;5,0;3,0;0,7071067811865474;-0,14644660940672632
MarchmontGarden;5,0;4,0;0,6338834764831843;0,5303300858899108
MarchmontGarden;4,0;1,0;0,45710678118654746;-0,20710678118654754
MarchmontGarden;4,0;2,0;0,49999999999999983;-0,10355339059327377
MarchmontGarden;3,0;3,0;0,07322330470336302;0,030330085889910697
MarchmontGarden;4,0;3,0;0,42677669529663687;0,030330085889910607
MarchmontGarden;1,0;4,0;-0,45710678118654763;0,35355339059327384
MarchmontGarden;4,0;3,0;0,3535533905932736;-0,14644660940672632
MarchmontGarden;5,0;1,0;0,7071067811865476;-0,5000000000000002
